Customer_Age,Customer_AnnualIncome,Customer_AccountBalance,Customer_CreditScore,Customer_Tenure,Customer_City,Customer_Segment,Customer_Channel,Customer_CustomerJoinDate,Customer_Active,Customer_RiskLevel,Customer_MonthlySpend,Customer_Transactions,Customer_SatisfactionScore,Income_Lakhs,MonthlyIncome,Income_After_Spending,Balance_Income_Ratio
53.0,193933.0,250519.78,315,9,Unknown,Retail,Agent,2022-10-07,Yes,High,32432.32,95,9.3,1.93933,16161.083333333334,-16271.236666666666,1.2917852041684499
64.0,175949.0,65169.27,701,1,Hyderabad,Premium,Agent,2023-08-10,No,Low,19941.13,118,7.5,1.75949,14662.416666666666,-5278.713333333335,0.37038727131157323
64.0,158541.0,246003.79,725,4,Mumbai,SME,Agent,2023-08-24,Yes,Low,21272.91,43,4.4,1.58541,13211.75,-8061.16,1.5516730057209176
47.0,103213.0,225791.49,760,8,Bangalore,Corporate,Branch,2022-02-13,No,Low,2808.48,64,9.6,1.03213,8601.083333333334,5792.603333333334,2.187626461782915
34.0,206264.0,277691.2,311,14,Hyderabad,SME,Online,2025-04-23,Yes,High,37670.96,128,9.8,2.06264,17188.666666666668,-20482.29333333333,1.3462901912112633
55.0,185811.0,84575.71,762,9,Delhi,SME,Agent,2021-11-17,No,Low,13856.76,57,9.6,1.85811,15484.25,1627.4899999999998,0.45517063037172184
53.0,154951.0,39589.6,397,7,Pune,Retail,Agent,2025-03-06,Yes,High,3974.73,132,6.1,1.54951,12912.583333333334,8937.853333333334,0.2554975443849991
68.0,133777.0,167629.78,355,9,Chennai,SME,Branch,2026-03-02,Yes,High,11725.09,74,6.6,1.33777,11148.083333333334,-577.0066666666662,1.2530538134357925
40.0,160542.0,153816.07,597,2,Kolkata,Retail,Agent,2022-06-21,Yes,Medium,20975.42,18,8.9,1.60542,13378.5,-7596.919999999998,0.9581048572959101
47.0,116878.0,151344.55801855895,674,1,Kolkata,Corporate,Mobile,2023-04-30,No,Medium,5694.49,75,5.605416666666668,1.16878,9739.833333333334,4045.343333333334,1.2948934617169952
70.0,206129.0,29621.16,747,13,Bangalore,Retail,Online,2024-09-13,Yes,Low,33012.7,129,6.6,2.06129,17177.416666666668,-15835.28333333333,0.14370205065759792
73.0,51649.0,249961.31,485,11,Hyderabad,Retail,Online,2025-11-11,No,High,5388.27,45,2.0,0.51649,4304.083333333333,-1084.1866666666674,4.839615675037271
64.0,125417.0,97303.74,487,10,Pune,Retail,Agent,2024-06-02,Yes,High,15808.18,80,8.2,1.25417,10451.416666666666,-5356.763333333334,0.7758417120486059
65.0,104561.0,221128.97,433,1,Delhi,Corporate,Branch,2021-01-31,Yes,High,12395.98,14,5.7,1.04561,8713.416666666666,-3682.5633333333335,2.1148322032115225
23.0,170643.0,269471.42,503,3,Hyderabad,SME,Agent,2024-04-20,No,High,18854.81,76,6.5,1.70643,14220.25,-4634.560000000001,1.5791530856818035
18.0,139914.0,950.35,524,14,Hyderabad,Retail,Agent,2025-04-10,No,High,39000.68,80,5.605416666666668,1.39914,11659.5,-27341.18,0.0067923867518618584
27.0,143947.0,295874.0,554,9,Delhi,Retail,Online,2023-08-04,Yes,Medium,42573.8,16,5.605416666666668,1.43947,11995.583333333334,-30578.216666666667,2.0554370705884804
66.0,169701.0,151344.55801855895,429,9,Mumbai,Corporate,Branch,2023-08-27,No,High,17572.01,128,3.9,1.69701,14141.75,-3430.2599999999984,0.8918306787736016
29.0,139914.0,89018.29,389,3,Chennai,SME,Mobile,2024-12-07,Yes,High,24646.77,64,1.0,1.39914,11659.5,-12987.27,0.636235759109167
25.0,151498.0,226900.28,805,3,Delhi,Retail,Agent,2021-07-22,Yes,Low,37514.38,111,2.9,1.51498,12624.833333333334,-24889.54666666666,1.4977113889292268
18.0,90108.0,605.56,377,6,Hyderabad,Retail,Online,2024-03-24,Yes,High,18323.24,78,6.5,0.90108,7509.0,-10814.240000000002,0.006720379988458294
46.0,239941.0,136184.05,820,14,Mumbai,Premium,Branch,2021-05-12,Yes,Low,4394.84,7,5.0,2.39941,19995.083333333332,15600.243333333332,0.5675730700463864
34.0,204761.0,262621.69,432,8,Chennai,Retail,Branch,2021-11-18,No,High,2794.49,38,7.9,2.04761,17063.416666666668,14268.926666666668,1.282576711385469
42.0,206180.0,122002.22,829,6,Bangalore,Retail,Branch,2025-07-11,No,Low,5019.79,76,5.3,2.0618,17181.666666666668,12161.876666666667,0.5917267436220778
21.0,64499.0,151344.55801855895,845,12,Chennai,Premium,Agent,2022-03-10,Yes,Low,42189.4,98,6.4,0.64499,5374.916666666667,-36814.48333333334,2.346463635382858
25.0,56822.0,229440.29,661,0,Chennai,Premium,Branch,2023-08-22,Yes,Medium,23395.48,88,5.1,0.56822,4735.166666666667,-18660.31333333333,4.037877758614621
57.0,187962.0,115536.04,791,7,Pune,Retail,Agent,2022-01-25,No,Low,19727.15,111,8.0,1.87962,15663.5,-4063.6500000000015,0.6146776476096232
33.0,169059.0,228572.05,639,15,Pune,Retail,Mobile,2024-10-04,Yes,Medium,24625.17,148,6.1,1.69059,14088.25,-10536.919999999998,1.3520253284356347
33.0,139914.0,234298.77,836,7,Hyderabad,Retail,Mobile,2024-09-02,Yes,Low,803.37,13,9.8,1.39914,11659.5,10856.13,1.6745913203825207
45.0,131661.0,7349.53,452,6,Delhi,Corporate,Branch,2025-07-30,Yes,High,49132.89,85,9.5,1.31661,10971.75,-38161.14,0.055821617639240165
21.0,109045.0,42676.57,671,9,Bangalore,Retail,Branch,2022-08-13,No,Medium,24625.17,62,8.1,1.09045,9087.083333333334,-15538.086666666664,0.39136659177403826
29.0,216648.0,88708.4,360,0,Pune,Premium,Branch,2025-11-27,Yes,High,45983.18,103,6.8,2.16648,18054.0,-27929.18,0.4094586610538754
51.0,135677.0,297732.69,835,6,Bangalore,Premium,Agent,2021-08-18,No,Low,3114.82,132,5.9,1.35677,11306.416666666666,8191.596666666666,2.1944227098181712
56.0,135641.0,3444.2,456,2,Kolkata,Corporate,Online,2023-11-13,No,High,19483.7,141,9.6,1.35641,11303.416666666666,-8180.283333333335,0.025392027484315214
31.0,239696.0,41661.4,677,2,Bangalore,Premium,Branch,2022-12-06,Yes,Medium,47955.19,115,7.7,2.39696,19974.666666666668,-27980.523333333334,0.1738093251451839
68.0,139225.0,9426.55,478,15,Pune,Premium,Branch,2022-06-28,Yes,High,17597.13,84,1.2,1.39225,11602.083333333334,-5995.046666666667,0.0677073083138804
27.0,172159.0,201009.76,831,4,Bangalore,Corporate,Mobile,2023-06-12,No,Low,37462.72,84,9.9,1.72159,14346.583333333334,-23116.136666666665,1.1675820607694052
20.0,161728.0,151344.55801855895,481,2,Pune,Retail,Branch,2021-02-25,Yes,High,47965.78,14,1.3,1.61728,13477.333333333334,-34488.44666666666,0.9357968812979753
44.0,139914.0,163675.55,341,12,Delhi,Premium,Branch,2021-08-23,No,High,17262.66,35,7.3,1.39914,11659.5,-5603.16,1.1698296810898123
37.0,37411.0,189596.6,608,9,Mumbai,Corporate,Mobile,2021-07-28,Yes,Medium,35753.31,17,4.4,0.37411,3117.5833333333335,-32635.726666666666,5.067937237710834
38.0,139914.0,122314.73,682,12,Kolkata,Retail,Online,2026-01-25,Yes,Medium,24625.17,50,2.1,1.39914,11659.5,-12965.669999999998,0.8742136598196034
52.0,206187.0,4818.56,728,9,Kolkata,Corporate,Agent,2023-12-01,Yes,High,40965.31,112,1.2,2.06187,17182.25,-23783.059999999998,0.023369853579517624
45.0,70232.0,204405.9,542,14,Pune,Corporate,Branch,2022-11-04,Yes,High,29657.43,57,9.4,0.70232,5852.666666666667,-23804.763333333332,2.9104382617610205
49.0,136487.0,223553.85,688,5,Hyderabad,Corporate,Branch,2023-02-20,No,Medium,44026.51,9,3.4,1.36487,11373.916666666666,-32652.593333333338,1.6379131345842461
46.0,79869.0,127781.31,504,15,Bangalore,SME,Branch,2022-07-22,Yes,High,24625.17,13,5.6,0.79869,6655.75,-17969.42,1.599886188633888
62.0,76924.0,61073.51,510,1,Bangalore,Premium,Branch,2021-11-23,Yes,High,26310.39,59,4.4,0.76924,6410.333333333333,-19900.056666666667,0.7939461026467682
73.0,64062.0,73742.23,805,9,Bangalore,Premium,Online,2023-08-24,Yes,Low,40051.01,9,4.3,0.64062,5338.5,-34712.51,1.1511072086416283
47.0,76047.0,81464.11,490,1,Mumbai,Retail,Online,2022-11-08,Yes,High,44125.58,118,2.6,0.76047,6337.25,-37788.33,1.0712337107315213
47.0,245171.0,232946.79,554,14,Pune,Corporate,Branch,2021-04-17,Yes,Medium,18338.72,140,5.6,2.45171,20430.916666666668,2092.1966666666667,0.9501400655053004
58.0,42069.0,151344.55801855895,560,14,Kolkata,Premium,Agent,2023-11-07,Yes,Medium,4691.16,63,9.4,0.42069,3505.75,-1185.4099999999999,3.597531627054576
21.0,245460.0,210129.54,773,0,Bangalore,SME,Online,2023-07-15,Yes,Low,23216.37,135,4.6,2.4546,20455.0,-2761.369999999999,0.8560642874602787
75.0,130823.0,17310.88,710,15,Hyderabad,Premium,Agent,2024-12-16,Yes,Low,22031.72,16,2.0,1.30823,10901.916666666666,-11129.803333333335,0.13232290958011972
75.0,178686.0,5144.93,446,14,Pune,Premium,Agent,2024-12-28,No,High,45017.3,29,7.7,1.78686,14890.5,-30126.800000000003,0.02879313432501707
34.0,54426.0,110320.1,422,4,Chennai,SME,Mobile,2021-04-30,No,High,33610.56,72,5.7,0.54426,4535.5,-29075.059999999998,2.0269742402528204
63.0,181123.0,196015.05,725,1,Pune,Retail,Agent,2021-04-22,No,Low,20009.6,13,5.3,1.81123,15093.583333333334,-4916.016666666665,1.0822206456385992
29.0,139914.0,104065.79,338,11,Bangalore,Premium,Online,2022-07-01,Yes,High,43147.43,131,3.1,1.39914,11659.5,-31487.93,0.7437839672941949
73.0,214013.0,22943.99,534,8,Chennai,Corporate,Mobile,2022-09-18,Yes,High,11686.34,108,1.3,2.14013,17834.416666666668,6148.076666666668,0.10720839388261462
69.0,218016.0,165141.53,829,10,Kolkata,Corporate,Online,2023-09-08,Yes,Low,38451.54,10,6.0,2.18016,18168.0,-20283.54,0.7574743596800235
40.0,31154.0,164739.1,807,6,Mumbai,Premium,Agent,2025-04-07,Yes,Low,47849.17,23,9.1,0.31154,2596.1666666666665,-45253.003333333334,5.287895615330295
74.0,51035.0,224351.57,713,7,Unknown,Premium,Online,2022-05-15,Yes,Low,42890.52,36,5.2,0.51035,4252.916666666667,-38637.60333333333,4.396033506417165
42.0,244861.0,61620.42,607,0,Hyderabad,Premium,Branch,2022-08-11,Yes,Medium,25818.6,76,1.5,2.44861,20405.083333333332,-5413.516666666666,0.2516546938875525
66.0,165905.0,27650.39,357,10,Hyderabad,Retail,Online,2021-11-01,Yes,High,16283.16,22,6.5,1.65905,13825.416666666666,-2457.743333333334,0.1666639944546578
20.0,232020.0,267360.02,547,8,Kolkata,Premium,Agent,2023-01-05,Yes,High,24625.17,37,2.6,2.3202,19335.0,-5290.169999999998,1.1523145418498406
50.0,236957.0,202832.47,617,3,Delhi,Corporate,Online,2023-04-05,Yes,Medium,2057.13,63,5.5,2.36957,19746.416666666668,17689.286666666667,0.8559885126837359
38.0,234112.0,136073.7,582,6,Hyderabad,Retail,Mobile,2022-08-30,Yes,Medium,5841.33,102,5.6,2.34112,19509.333333333332,13668.003333333332,0.581233341306725
22.0,141859.0,151344.55801855895,822,13,Delhi,Corporate,Branch,2023-06-17,Yes,Low,24625.17,119,4.7,1.41859,11821.583333333334,-12803.586666666664,1.0668660995675914
49.0,188834.0,151344.55801855895,753,0,Kolkata,Premium,Agent,2023-08-24,Yes,Low,17796.54,147,5.605416666666668,1.88834,15736.166666666666,-2060.373333333335,0.8014687927945123
47.0,71857.0,264484.69,672,1,Bangalore,SME,Mobile,2024-12-21,Yes,Medium,17084.93,17,8.5,0.71857,5988.083333333333,-11096.846666666668,3.6807087688047093
35.0,179324.0,13574.76,610,9,Kolkata,Corporate,Mobile,2025-10-16,Yes,High,9815.12,37,3.9,1.79324,14943.666666666666,5128.546666666665,0.07569962748990654
30.0,212116.0,34943.35,570,15,Delhi,Retail,Mobile,2024-02-04,Yes,Low,38054.36,101,5.9,2.12116,17676.333333333332,-20378.02666666667,0.16473698353730976
47.0,112969.0,229748.71,398,10,Bangalore,SME,Online,2024-10-08,Yes,High,21240.19,80,7.6,1.12969,9414.083333333334,-11826.106666666665,2.033732351353026
24.0,100897.0,35986.11,378,13,Mumbai,SME,Mobile,2024-12-20,Yes,High,24578.08,75,4.4,1.00897,8408.083333333334,-16169.996666666668,0.35666184326590483
64.0,32099.0,267513.26,444,7,Mumbai,Retail,Agent,2023-09-28,No,High,24085.92,24,5.605416666666668,0.32099,2674.9166666666665,-21411.00333333333,8.334006043801988
65.0,97692.0,179578.53,579,9,Pune,Premium,Branch,2021-08-21,Yes,Medium,16309.51,33,1.9,0.97692,8141.0,-8168.51,1.838211214838472
22.0,120081.0,153869.12,437,2,Delhi,SME,Online,2022-04-06,Yes,High,17677.89,76,5.4,1.20081,10006.75,-7671.139999999999,1.281377736694398
64.0,73874.0,25317.71,384,1,Bangalore,Retail,Online,2022-08-24,Yes,High,21869.3,48,2.0,0.73874,6156.166666666667,-15713.133333333331,0.34271475756017
46.0,234093.0,131453.01,598,5,Bangalore,SME,Branch,2023-12-29,No,Medium,32808.11,112,9.5,2.34093,19507.75,-13300.36,0.56154182312158
54.0,104134.0,97901.53,770,7,Hyderabad,Premium,Mobile,2025-10-29,Yes,Low,30755.11,121,5.9,1.04134,8677.833333333334,-22077.276666666665,0.9401495188891236
51.0,153202.0,96008.19,554,6,Unknown,SME,Branch,2024-02-10,Yes,Medium,35388.8,74,1.8,1.53202,12766.833333333334,-22621.966666666667,0.6266771321523218
62.0,184210.0,151344.55801855895,536,11,Hyderabad,Premium,Branch,2023-08-24,No,High,18587.6,90,2.5,1.8421,15350.833333333334,-3236.7666666666646,0.8215870909210083
24.0,70603.0,106539.49,507,3,Pune,Retail,Branch,2025-06-06,No,High,40479.15,20,5.6,0.70603,5883.583333333333,-34595.566666666666,1.5089938104613119
44.0,221133.0,154927.32,570,12,Hyderabad,SME,Mobile,2021-05-08,No,Medium,33578.84,6,9.1,2.21133,18427.75,-15151.089999999997,0.7006069650391393
60.0,162488.0,234275.81,570,1,Mumbai,Premium,Agent,2023-08-24,Yes,Medium,48286.74,100,4.0,1.62488,13540.666666666666,-34746.073333333334,1.4418037639702623
73.0,226659.0,61207.4,566,3,Mumbai,Corporate,Online,2024-02-19,Yes,Medium,33884.83,15,9.6,2.26659,18888.25,-14996.580000000002,0.2700417808249397
25.0,80204.0,151344.55801855895,689,6,Pune,Premium,Agent,2021-09-29,No,Medium,16696.4,75,2.4,0.80204,6683.666666666667,-10012.733333333334,1.8869951376310277
47.0,228617.0,13433.54,421,11,Unknown,SME,Online,2022-03-06,No,High,32979.41,112,3.4,2.28617,19051.416666666668,-13927.993333333336,0.05876002222056978
36.0,42772.0,159606.5,639,9,Hyderabad,SME,Online,2024-10-03,No,Medium,23669.24,86,1.4,0.42772,3564.3333333333335,-20104.90666666667,3.731565042551202
59.0,152834.0,282381.73,741,2,Delhi,Premium,Mobile,2024-10-15,No,Low,4209.73,140,5.4,1.52834,12736.166666666666,8526.436666666666,1.8476368478218197
37.0,43658.0,234056.78,794,3,Pune,SME,Branch,2022-04-21,Yes,Low,23576.42,9,6.9,0.43658,3638.1666666666665,-19938.25333333333,5.3611429749415915
71.0,105257.0,64109.44,471,14,Bangalore,Retail,Mobile,2023-02-21,No,High,37455.05,120,5.1,1.05257,8771.416666666666,-28683.63333333334,0.609075310905688
33.0,49089.0,251944.85,712,10,Pune,Corporate,Agent,2023-01-27,Yes,Low,15240.46,40,3.8,0.49089,4090.75,-11149.71,5.132409501110229
32.0,169353.0,159325.6,570,2,Unknown,Corporate,Branch,2022-05-17,No,Medium,31838.79,71,3.2,1.69353,14112.75,-17726.04,0.9407899476241933
34.0,123723.0,111972.35,820,2,Bangalore,Premium,Agent,2022-05-13,Yes,Low,30264.76,136,1.8,1.23723,10310.25,-19954.51,0.9050245306046573
66.0,154749.0,13248.58,433,11,Kolkata,Retail,Mobile,2021-08-18,Yes,High,40317.62,47,9.7,1.54749,12895.75,-27421.870000000003,0.08561334806686957
47.0,63714.0,180911.87,510,13,Hyderabad,Retail,Branch,2025-10-31,Yes,High,18374.17,144,5.605416666666668,0.63714,5309.5,-13064.669999999998,2.839436701509872
50.0,139914.0,44118.56,667,13,Pune,Corporate,Online,2025-08-11,No,Medium,45092.96,115,8.7,1.39914,11659.5,-33433.46,0.3153262718527095
23.0,241997.0,137232.92,527,1,Hyderabad,Premium,Online,2024-07-20,Yes,High,22354.58,77,6.6,2.41997,20166.416666666668,-2188.163333333334,0.5670852118001464
42.0,114906.0,92171.69,745,7,Hyderabad,Corporate,Branch,2021-03-05,Yes,Low,24625.17,109,1.5,1.14906,9575.5,-15049.669999999998,0.8021486258332898
60.0,139914.0,106512.32,460,11,Mumbai,Corporate,Branch,2022-06-26,Yes,High,11060.66,62,4.8,1.39914,11659.5,598.8400000000001,0.7612699229526709
64.0,60292.0,147616.35,460,12,Pune,Premium,Branch,2021-12-24,Yes,High,41708.23,24,6.2,0.60292,5024.333333333333,-36683.89666666667,2.4483571618125124
19.0,169129.0,234166.81,516,9,Bangalore,Retail,Online,2023-08-24,Yes,High,29836.6,38,1.8,1.69129,14094.083333333334,-15742.516666666665,1.3845455835486522
62.0,55795.0,49815.76,822,3,Kolkata,Corporate,Online,2023-08-24,Yes,Low,3051.97,90,5.605416666666668,0.55795,4649.583333333333,1597.6133333333332,0.8928355587418227
42.0,139914.0,150454.64,431,15,Hyderabad,Premium,Online,2024-09-27,Yes,High,44710.37,71,4.1,1.39914,11659.5,-33050.87,1.0753365638892463
39.0,139914.0,297436.07,650,7,Kolkata,Retail,Branch,2024-11-27,No,Medium,29851.24,5,5.0,1.39914,11659.5,-18191.74,2.1258492359592323
46.0,139914.0,94111.95,728,12,Hyderabad,SME,Online,2021-02-14,No,Low,12699.76,19,4.1,1.39914,11659.5,-1040.2600000000002,0.6726414082936661
49.0,157311.0,288050.34,317,8,Delhi,Corporate,Mobile,2022-12-04,Yes,High,36026.32,32,1.3,1.57311,13109.25,-22917.07,1.83108835364342
54.0,228218.0,153168.54,599,1,Hyderabad,Corporate,Agent,2023-08-28,No,Medium,34834.92,86,2.8,2.28218,19018.166666666668,-15816.75333333333,0.671150128386017
40.0,99520.0,80280.24,638,1,Delhi,Retail,Online,2024-08-09,No,Medium,18509.34,36,7.0,0.9952,8293.333333333334,-10216.006666666666,0.8066744372990354
75.0,239369.0,218051.65,598,6,Mumbai,Premium,Mobile,2023-08-24,Yes,Medium,6476.55,123,6.5,2.39369,19947.416666666668,13470.866666666669,0.9109435641206672
67.0,115517.0,95582.69,588,6,Bangalore,SME,Agent,2023-05-09,No,Medium,12452.48,103,5.7,1.15517,9626.416666666666,-2826.0633333333335,0.8274339707575509
40.0,147811.0,247995.62,821,7,Pune,Premium,Online,2024-12-07,No,Low,43695.52,36,7.7,1.47811,12317.583333333334,-31377.93666666666,1.6777886625487954
35.0,209492.0,133157.76,751,2,Delhi,Retail,Agent,2024-08-25,No,Low,25254.57,19,5.4,2.09492,17457.666666666668,-7796.903333333332,0.6356221717297081
33.0,231789.0,219148.91,472,1,Bangalore,Premium,Online,2025-10-31,No,High,7201.24,146,4.1,2.31789,19315.75,12114.51,0.9454672568586084
65.0,186326.0,83438.75,328,10,Mumbai,Corporate,Mobile,2023-08-24,Yes,High,24625.17,52,8.9,1.86326,15527.166666666666,-9098.003333333332,0.44781055783948565
74.0,70379.0,151344.55801855895,400,10,Hyderabad,Retail,Branch,2022-01-25,Yes,High,18239.2,3,9.8,0.70379,5864.916666666667,-12374.283333333333,2.1504221148149156
43.0,78798.0,119365.25,596,10,Hyderabad,Retail,Agent,2022-09-16,Yes,Medium,23947.71,111,1.2,0.78798,6566.5,-17381.21,1.514825883905683
57.0,149302.0,72021.22,313,1,Hyderabad,Premium,Online,2022-04-24,Yes,High,48897.31,4,2.3,1.49302,12441.833333333334,-36455.47666666666,0.48238617031252096
40.0,139044.0,218024.77,751,3,Hyderabad,Premium,Agent,2021-12-29,No,Low,44261.47,132,6.5,1.39044,11587.0,-32674.47,1.5680271712551421
57.0,94519.0,274701.67,606,12,Chennai,Retail,Branch,2025-11-14,Yes,Medium,29023.36,149,9.7,0.94519,7876.583333333333,-21146.77666666667,2.9063116410457157
66.0,176716.0,238178.82,357,10,Delhi,Retail,Mobile,2025-06-11,Yes,High,28654.07,146,6.4,1.76716,14726.333333333334,-13927.736666666666,1.3478056316349398
46.0,227332.0,206999.92,656,6,Delhi,Corporate,Online,2024-08-14,Yes,Medium,6078.54,123,7.0,2.27332,18944.333333333332,12865.793333333331,0.9105621733851812
28.0,150147.0,151344.55801855895,760,15,Mumbai,Retail,Online,2021-01-17,No,High,2281.5,73,7.5,1.50147,12512.25,10230.75,1.0079759037380631
54.0,227978.0,186819.68,671,9,Unknown,SME,Branch,2023-08-09,No,Medium,29640.24,119,2.7,2.27978,18998.166666666668,-10642.073333333334,0.8194636324557633
49.0,161614.0,115863.6,681,12,Pune,Retail,Mobile,2023-01-12,No,Medium,41850.44,39,1.2,1.61614,13467.833333333334,-28382.606666666667,0.716915613746334
71.0,249977.0,124488.13,582,6,Hyderabad,Premium,Online,2024-12-29,Yes,Medium,27202.0,32,3.8,2.49977,20831.416666666668,-6370.583333333332,0.49799833584689795
68.0,248536.0,269302.4,464,9,Delhi,SME,Agent,2022-05-16,No,High,24625.17,110,7.1,2.48536,20711.333333333332,-3913.836666666666,1.083554897479641
28.0,59594.0,88782.87,735,8,Pune,Corporate,Agent,2023-06-12,Yes,Low,20085.66,8,9.8,0.59594,4966.166666666667,-15119.493333333332,1.489795449206296
26.0,71413.0,116171.18,465,1,Pune,Corporate,Branch,2023-06-13,No,High,40134.29,52,3.9,0.71413,5951.083333333333,-34183.206666666665,1.6267511517510815
47.0,99069.0,127431.46,468,11,Hyderabad,Corporate,Branch,2023-05-24,No,High,14009.63,126,5.9,0.99069,8255.75,-5753.879999999999,1.2862899595231607
30.0,208362.0,222187.84,460,7,Mumbai,SME,Branch,2025-06-23,Yes,High,42163.74,1,8.5,2.08362,17363.5,-24800.239999999998,1.0663549015655445
43.0,139914.0,1715.57,691,3,Unknown,Retail,Branch,2023-11-25,Yes,High,18930.72,44,9.1,1.39914,11659.5,-7271.220000000001,0.012261603556470402
72.0,125494.0,57335.61,709,11,Mumbai,Retail,Mobile,2025-11-22,Yes,Low,24625.17,23,4.3,1.25494,10457.833333333334,-14167.336666666664,0.45687929303392993
19.0,82993.0,192489.57,553,8,Bangalore,Corporate,Branch,2023-09-01,No,Medium,47687.97,37,8.1,0.82993,6916.083333333333,-40771.886666666665,2.319347053365947
18.0,126604.0,206111.75,625,11,Chennai,Corporate,Agent,2022-04-24,No,Medium,40097.38,138,9.7,1.26604,10550.333333333334,-29547.04666666666,1.6280034596063315
47.0,185372.0,22970.48,511,13,Pune,Premium,Agent,2023-07-25,No,High,42680.91,89,9.5,1.85372,15447.666666666666,-27233.24333333334,0.12391558595688669
50.0,222096.0,28515.91,626,4,Kolkata,Corporate,Branch,2021-11-29,Yes,Medium,22761.5,127,9.1,2.22096,18508.0,-4253.5,0.12839452308911461
24.0,182732.0,31577.76,707,9,Pune,Corporate,Mobile,2022-07-07,No,Low,24625.17,83,6.1,1.82732,15227.666666666666,-9397.503333333332,0.1728091412560471
26.0,189827.0,208739.24,386,4,Mumbai,Corporate,Branch,2021-10-29,Yes,High,21006.7,145,8.5,1.89827,15818.916666666666,-5187.783333333335,1.099628819925511
54.0,204526.0,4090.21,601,11,Delhi,Corporate,Branch,2021-05-05,Yes,High,40940.68,24,4.2,2.04526,17043.833333333332,-23896.846666666668,0.01999848430028456
27.0,139914.0,112056.05,776,12,Hyderabad,SME,Online,2025-10-14,Yes,Low,2738.87,131,9.1,1.39914,11659.5,8920.630000000001,0.8008923338622297
28.0,238397.0,188435.86,658,2,Chennai,SME,Branch,2022-09-10,Yes,Medium,38337.81,63,8.3,2.38397,19866.416666666668,-18471.39333333333,0.7904288225103503
47.0,217402.0,1507.97,580,14,Kolkata,Retail,Mobile,2021-07-10,Yes,High,24625.17,146,4.1,2.17402,18116.833333333332,-6508.336666666666,0.006936320733019936
